33.2	34.1	34.4	34.2	35.1	35.2	35.6	36.0	36.7	37.0
33.4	34.3	34.4	34.2	35.7	35.2	35.3	38.0	38.7	37.0
33.5	34.5	35.4	34.2	36.2	35.2	35.7	36.2	40.7	34.0
33.7	35.5	34.4	38.2	35.1	35.2	41.6	36.4	36.7	34.0
34.0	34.1	35.4	38.3	38.4	40.2	40.3	37.0	38.7	35.0
34.6	34.1	36.4	37.4	38.6	39.2	39.6	36.9	37.7	39.3
34.9	34.2	37.4	37.2	35.1	38.7	35.6	36.3	38.7	38.0
35.3	34.1	34.4	34.2	35.1	38.9	35.6	36.0	37.7	37.0
35.6	34.5	34.4	38.2	39.1	39.2	39.6	36.0	36.7	37.0
36.2	34.1	34.4	34.2	40.0	40.2	39.7	36.0	36.7	39.0
